fold,validation_year,horizon_min,threshold,cost_bps_round_trip,train_rows,validation_rows,best_iteration,trades,longs,shorts,gross_return_sum,net_return_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
1,2022,60,0.0001,2.0,245839,409657,1,31,5,26,-0.032424154855367114,-0.038624154855367104,-0.03822389369227874,0.41935483870967744,0.43489600345847895,-0.038659890863853685,-0.0012459404792053905
1,2022,60,0.0001,5.0,245839,409657,1,31,5,26,-0.032424154855367114,-0.047924154855367114,-0.04713952269787036,0.3870967741935484,0.35151436690781546,-0.04671599048358677,-0.0015459404792053909
1,2022,60,0.0002,0.0,245839,409657,1,7,0,7,-0.009909563654889299,-0.009909563654889299,-0.009916537433280137,0.2857142857142857,0.4612098551826611,-0.008858118504865065,-0.0014156519506984713
1,2022,60,0.0002,1.0,245839,409657,1,7,0,7,-0.009909563654889299,-0.0106095636548893,-0.010610379697301497,0.2857142857142857,0.43841718085205417,-0.00915631434893116,-0.0015156519506984714
1,2022,60,0.0002,2.0,245839,409657,1,7,0,7,-0.009909563654889299,-0.011309563654889299,-0.01130380514437479,0.2857142857142857,0.4167998561065375,-0.009454450376684687,-0.0016156519506984712
1,2022,60,0.0002,5.0,245839,409657,1,7,0,7,-0.009909563654889299,-0.013409563654889298,-0.013381582670336623,0.2857142857142857,0.35815611417621224,-0.01034849962206863,-0.001915651950698471
1,2022,60,0.0005,0.0,245839,409657,1,0,0,0,0.0,0.0,0.0,,,,
1,2022,60,0.0005,1.0,245839,409657,1,0,0,0,0.0,0.0,0.0,,,,
1,2022,60,0.0005,2.0,245839,409657,1,0,0,0,0.0,0.0,0.0,,,,
1,2022,60,0.0005,5.0,245839,409657,1,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0,0.0,330124,410106,7,82060,55952,26108,0.2460198344050491,0.2460198344050491,0.26851239407807426,0.4364611260053619,1.0227834516639682,-0.0835247723939938,2.9980481891914342e-06
2,2023,5,0.0,1.0,330124,410106,7,82060,55952,26108,0.2460198344050491,-7.959980165594951,-0.9996538168153264,0.3214720935900561,0.49925170148230275,-0.9996537821935458,-9.700195181080857e-05
2,2023,5,0.0,2.0,330124,410106,7,82060,55952,26108,0.2460198344050491,-16.165980165594952,-0.9999999056024395,0.2288934925664148,0.2605597094575621,-0.9999999055835561,-0.0001970019518108086
2,2023,5,0.0,5.0,330124,410106,7,82060,55952,26108,0.2460198344050491,-40.783980165594954,-1.0,0.0772117962466488,0.052860562554974684,-1.0,-0.0004970019518108086
2,2023,5,0.0001,0.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0001,1.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0001,2.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0001,5.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0002,0.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0002,1.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0002,2.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0002,5.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0005,0.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0005,1.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,5,0.0005,2.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
