horizon_min,validation_year,top_k,long_threshold,short_threshold,cost_bps,auc,trades,compound,profit_factor,win_rate,max_drawdown,selected_features
15,2024,3,0.55,0.45,0,0.5175284157923316,486,-0.0017191445187972887,0.9989927276635983,0.551440329218107,-0.04431445750874208,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.55,0.45,1,0.5175284157923316,486,-0.049078110876834335,0.8909169695562673,0.5370370370370371,-0.06945643326354323,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.55,0.45,2,0.5175284157923316,486,-0.09419474626249669,0.7934233256879543,0.5164609053497943,-0.10095499093438898,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.55,0.45,5,0.5175284157923316,486,-0.2171255190729109,0.5547197676634149,0.4670781893004115,-0.22066582366129373,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.6,0.4,0,0.5175284157923316,52,-0.024248668479500912,0.6742514450004877,0.4423076923076923,-0.0363059696105843,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.6,0.4,1,0.5175284157923316,52,-0.02931206586079238,0.619398531780665,0.4230769230769231,-0.03900423920365226,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.6,0.4,2,0.5175284157923316,52,-0.034349690834787894,0.5693926135850381,0.40384615384615385,-0.041695222940900445,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.6,0.4,5,0.5175284157923316,52,-0.049309214377985744,0.44037886821624717,0.40384615384615385,-0.05001066841672974,distance_high_60|distance_sma_60|distance_sma_15
15,2024,5,0.5,0.5,0,0.5090740663218634,14336,-0.14528532876431444,0.971272334304681,0.5038364955357143,-0.1682309209090037,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.5,0.5,1,0.5090740663218634,14336,-0.7962121447311897,0.733626712494455,0.44956752232142855,-0.7986412494783063,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.5,0.5,2,0.5090740663218634,14336,-0.9514182489462842,0.5544528681089995,0.3944614955357143,-0.9514592282158748,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.5,0.5,5,0.5090740663218634,14336,-0.9993423664066667,0.24490969558082243,0.25411551339285715,-0.9993424117601766,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.55,0.45,0,0.5090740663218634,174,0.012014851432167184,1.0804017984718728,0.5517241379310345,-0.026921253083584173,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.55,0.45,1,0.5090740663218634,174,-0.005441622222002063,0.9697338899056865,0.5344827586206896,-0.032938638233392825,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
