horizon_min,validation_year,feature,auc,advantage_abs,n
60,2022,return_60m,0.48909746864371517,0.010902531356284828,43073
60,2022,candle_range,0.5040552569478868,0.004055256947886776,43073
60,2022,body,0.4996733937968852,0.0003266062031148098,43073
60,2022,abs_body,0.5002912629544385,0.00029126295443848704,43073
60,2022,upper_wick,0.501727358020414,0.001727358020414016,43073
60,2022,lower_wick,0.5044070183845483,0.004407018384548267,43073
60,2022,body_range_ratio,0.4971252493880561,0.0028747506119439215,43073
60,2022,upper_wick_ratio,0.5001181885221799,0.00011818852217992948,43073
60,2022,lower_wick_ratio,0.5030893209915395,0.003089320991539468,43073
60,2022,volatility_15m,0.5038053907558759,0.003805390755875937,43073
60,2022,volatility_30m,0.5036349037560311,0.0036349037560311492,43073
60,2022,volatility_60m,0.5031028166077713,0.0031028166077713415,43073
60,2022,volatility_240m,0.4998810287795148,0.00011897122048520892,43073
60,2022,momentum_5m,0.4909554672048009,0.009044532795199123,43073
60,2022,momentum_15m,0.48850728609108673,0.011492713908913266,43073
60,2022,momentum_30m,0.48748353180125853,0.01251646819874147,43073
60,2022,momentum_60m,0.48910009057522785,0.010899909424772147,43073
60,2022,sma_15,0.5053032510678603,0.005303251067860337,43073
60,2022,sma_60,0.5055495045573632,0.0055495045573632495,43073
60,2022,sma_240,0.505728514990818,0.005728514990817946,43073
60,2022,distance_sma_15,0.48991828521884173,0.010081714781158269,43073
60,2022,distance_sma_60,0.48631776843959046,0.013682231560409541,43073
60,2022,distance_sma_240,0.49187350439668376,0.008126495603316242,43073
60,2022,sma_15_slope,0.4910424459015858,0.0089575540984142,43073
60,2022,sma_60_slope,0.4956886540851471,0.004311345914852882,43073
60,2022,sma_240_slope,0.5068011943933014,0.006801194393301402,43073
60,2022,rolling_high_60,0.5055708217661629,0.005570821766162859,43073
60,2022,rolling_low_60,0.5055173740372676,0.005517374037267597,43073
60,2022,rolling_high_240,0.5054959328473316,0.0054959328473316305,43073
60,2022,rolling_low_240,0.5055351971342117,0.005535197134211689,43073
60,2022,distance_high_60,0.48921919332352737,0.010780806676472632,43073
60,2022,distance_low_60,0.48916273770445107,0.010837262295548933,43073
60,2022,distance_high_240,0.4916164203463351,0.008383579653664874,43073
60,2022,distance_low_240,0.49444710698427136,0.005552893015728644,43073
60,2022,hour_sin,0.5038372043155008,0.0038372043155008306,43073
60,2022,hour_cos,0.4967624945979262,0.0032375054020737926,43073
60,2022,minute_sin,0.5024918224737609,0.0024918224737608963,43073
