outer_fold,inner_year,outer_year,horizon_min,threshold,inner_trades,inner_compound_2bps,inner_profit_factor_2bps,inner_win_rate_2bps,inner_mdd_2bps,inner_avg_hold_minutes_2bps,inner_directional_accuracy_2bps,min_required_trades,eligible,selection_reason
2,2022,2023,30,0.4,46153,-0.9998312206460369,0.4438730223204188,0.5040192403527398,-0.9998311024177293,6.197516954477499,0.4982124672285659,469,True,
2,2022,2023,30,0.45,44707,-0.9997658705961632,0.4473404136618094,0.5066097031784732,-0.9997657065907767,5.853020779743664,0.5025611201825217,469,True,
2,2022,2023,30,0.5,38630,-0.9991849033008144,0.4545002993576116,0.5125550090603158,-0.9991845769603598,5.042091638622832,0.5099404607817758,469,True,
2,2022,2023,30,0.55,4832,-0.5518083659478421,0.48701143029862987,0.5275248344370861,-0.5517633943409574,4.074917218543046,0.5240066225165563,469,True,max_inner_2bps_compound_return_with_min_trades
2,2022,2023,30,0.6,360,-0.05228683032787618,0.4910930257632259,0.5027777777777778,-0.05589931238768164,9.838888888888889,0.46111111111111114,469,False,
2,2022,2023,30,0.65,100,-0.0099455218195601,0.55676362738814,0.45,-0.012194778709144094,22.82,0.38,469,False,
2,2022,2023,30,0.7,66,-0.00320271565014818,0.7475030523081572,0.5303030303030303,-0.0038629825374277837,23.03030303030303,0.4393939393939394,469,False,
2,2022,2023,30,0.75,44,-0.0030215345813715544,0.6668550829171256,0.5227272727272727,-0.004532792739443292,20.272727272727273,0.4318181818181818,469,False,
2,2022,2023,30,0.8,20,0.000391361772612564,1.1270009089405957,0.7,-0.001799159902102998,18.75,0.55,469,False,
2,2022,2023,60,0.34,46222,-0.9998060773108534,0.4536739434465795,0.5125481372506598,-0.9998062322958817,6.858919994807668,0.5108389944182424,463,True,
2,2022,2023,60,0.4,46159,-0.9998056910872781,0.4534049434931284,0.5124894386793475,-0.9998058463809804,6.8307155700946725,0.5108862843649126,463,True,
2,2022,2023,60,0.45,45991,-0.9998016346220734,0.45322010470823715,0.5127090082842295,-0.9998017931577448,6.745189276162727,0.5111434845948121,463,True,
2,2022,2023,60,0.5,44589,-0.9997393262682737,0.45408741033048805,0.5136917176882191,-0.9997392739535768,6.429881809414878,0.5122563861041961,463,True,
2,2022,2023,60,0.55,6365,-0.6621928242324695,0.4794120781424904,0.5252160251374706,-0.6622263616909198,6.77439120188531,0.5212882953652789,463,True,
2,2022,2023,60,0.6,813,-0.1237689139738627,0.48208846483727585,0.5153751537515375,-0.12328201235205061,13.220172201722017,0.4981549815498155,463,True,max_inner_2bps_compound_return_with_min_trades
2,2022,2023,60,0.65,283,-0.0438120226167642,0.4755570212786175,0.49823321554770317,-0.045257490483123886,24.452296819787986,0.4664310954063604,463,False,
2,2022,2023,60,0.7,135,-0.012822521381926855,0.6126246342814688,0.5555555555555556,-0.014845145523713854,38.422222222222224,0.4740740740740741,463,False,
2,2022,2023,60,0.75,83,-0.0067927272435927,0.6525229152492481,0.5421686746987951,-0.010214861344859938,41.83132530120482,0.4939759036144578,463,False,
2,2022,2023,60,0.8,53,-0.0024827748874224342,0.7861203339992102,0.6037735849056604,-0.005323221484589635,42.39622641509434,0.5660377358490566,463,False,
3,2023,2024,15,0.34,34874,-0.9987452053641087,0.41588433363154476,0.4714113666341687,-0.9987455816896018,6.022337558066181,0.4446579113379595,350,True,
3,2023,2024,15,0.4,30586,-0.9971066252638953,0.4250037012537326,0.48260642123847514,-0.9971054668427803,5.390963185771268,0.46361080232786245,350,True,
3,2023,2024,15,0.45,23281,-0.987601288156545,0.43959905788687403,0.49886173274343887,-0.9875963240814056,4.332588806322753,0.48898243202611574,350,True,
3,2023,2024,15,0.5,10621,-0.8672093096436937,0.44403241195387877,0.5071085585161472,-0.8673682604314834,2.907541662743621,0.5048488842858488,350,True,max_inner_2bps_compound_return_with_min_trades
3,2023,2024,15,0.55,112,-0.002962096320482388,0.8792049691817013,0.6517857142857143,-0.007544322955620575,4.964285714285714,0.6339285714285714,350,False,
3,2023,2024,15,0.6,19,0.005182138808439651,23.43690198773942,0.9473684210526315,-0.00023040587884970432,11.421052631578947,0.9473684210526315,350,False,
3,2023,2024,15,0.65,10,0.002680724647389665,120.23022673244273,0.9,-2.2456915148461043e-05,10.0,0.9,350,False,
3,2023,2024,15,0.7,3,0.0009002700269997721,inf,1.0,0.0,6.666666666666667,1.0,350,False,
3,2023,2024,15,0.75,0,0.0,,,0.0,,,350,False,
3,2023,2024,15,0.8,0,0.0,,,0.0,,,350,False,
3,2023,2024,30,0.34,36294,-0.999085618997792,0.42749607282758184,0.4881798644404034,-0.9990853860162969,8.10715269741555,0.47487187964952887,364,True,
3,2023,2024,30,0.4,35558,-0.9989182515478972,0.4306377043971657,0.4911693571066989,-0.9989179759216853,7.839192305528995,0.479638899825637,364,True,
3,2023,2024,30,0.45,33725,-0.9984388650734922,0.4344834494343413,0.4955967383246849,-0.9984402692523345,7.224047442550037,0.48747220163083765,364,True,
3,2023,2024,30,0.5,23946,-0.9892579248181993,0.4432656282891606,0.5046771903449427,-0.9892643671641078,5.58991063225591,0.5005011275369582,364,True,max_inner_2bps_compound_return_with_min_trades
3,2023,2024,30,0.55,340,-0.03731791265037654,0.5764592407412934,0.5411764705882353,-0.03713119189505809,14.58235294117647,0.4823529411764706,364,False,
3,2023,2024,30,0.6,82,0.006066826209659704,1.6044316831223306,0.7195121951219512,-0.002370237825159771,22.76829268292683,0.5975609756097561,364,False,
3,2023,2024,30,0.65,51,0.0055757627970891566,2.038373873213386,0.7450980392156863,-0.00179915990210322,22.176470588235293,0.6666666666666666,364,False,
3,2023,2024,30,0.7,25,0.006581490261287071,29.47564119317106,0.96,-0.00023040587884981534,20.48,0.88,364,False,
3,2023,2024,30,0.75,11,0.0026864325492428343,9.473602416876565,0.9090909090909091,-0.0003166694007187276,20.818181818181817,0.9090909090909091,364,False,
3,2023,2024,30,0.8,5,0.0015009002700401286,inf,1.0,0.0,10.6,1.0,364,False,
3,2023,2024,60,0.34,35429,-0.9986672015168134,0.44757322192630306,0.5073245081712722,-0.9986685333828705,9.09091422281182,0.5028648846989754,355,True,
3,2023,2024,60,0.4,35357,-0.9986545244640653,0.4474527478672298,0.507367706536188,-0.9986558689983063,9.043470882710638,0.502927284554685,355,True,
3,2023,2024,60,0.45,35183,-0.9986217529238223,0.44745684525322355,0.5078020634965751,-0.9986231302066766,8.9106955063525,0.5037660233635562,355,True,
3,2023,2024,60,0.5,33147,-0.9978781771126094,0.4512234438211502,0.5104836033426856,-0.997877752663142,8.434368117778382,0.5075572449995475,355,True,
3,2023,2024,60,0.55,2301,-0.3261803319130646,0.4647381058597709,0.5084745762711864,-0.3265844418553515,17.353324641460233,0.49109083007388094,355,True,max_inner_2bps_compound_return_with_min_trades
3,2023,2024,60,0.6,339,-0.031158876376569333,0.6250327929537608,0.56047197640118,-0.030770981230967775,34.12979351032448,0.49557522123893805,355,False,
3,2023,2024,60,0.65,163,0.0007442850357173292,1.0271526545701164,0.6319018404907976,-0.0038242411746757243,39.693251533742334,0.558282208588957,355,False,
3,2023,2024,60,0.7,114,0.005241418780078,1.307645251570232,0.6842105263157895,-0.0025579270524540565,37.40350877192982,0.6403508771929824,355,False,
3,2023,2024,60,0.75,73,0.010102621843457893,2.421252772500013,0.7945205479452054,-0.0018630569337875214,34.43835616438356,0.7808219178082192,355,False,
3,2023,2024,60,0.8,37,0.007213457916308119,4.406398266942648,0.8378378378378378,-0.0007000000000000339,36.648648648648646,0.8378378378378378,355,False,
4,2024,2025,15,0.34,42279,-0.9997440621820489,0.4171846224868516,0.4782043094680574,-0.9997439597121653,5.363159015113887,0.46003926299108305,424,True,
4,2024,2025,15,0.4,38938,-0.9995061633317229,0.4219411891300213,0.48443679695926856,-0.9995058742786243,4.956443576968514,0.47036314140428376,424,True,
4,2024,2025,15,0.45,32942,-0.9984960738708617,0.42460609476255573,0.49101451035152693,-0.9984974564178603,4.300892477688058,0.48160403132778823,424,True,
